0,1
Datasets/Real_Handwriting/images/form_318_sentence_1.png,Mokytojas nori kalbėti žemėlapį.
Datasets/Real_Handwriting/images/form_130_sentence_3.png,Vyras keliauoja filmą.
Datasets/Real_Handwriting/images/form_225_sentence_3.png,Neringa geria sultis.
Datasets/Real_Handwriting/images/form_450_sentence_2.png,Ar vaikas nori šokti?
Datasets/Real_Handwriting/images/form_068_sentence_2.png,Mokytojas kalba namuose ir parke.
Datasets/Real_Handwriting/images/form_133_sentence_4.png,Šuo nemėgsta skubėti.
Datasets/Real_Handwriting/images/form_496_sentence_3.png,Žirgas nori eiti duoną.
Datasets/Real_Handwriting/images/form_100_sentence_4.png,Rytoj jos žaidžia pamoką.
Datasets/Real_Handwriting/images/form_448_sentence_2.png,Rasa stengiasi sportuoti.
Datasets/Real_Handwriting/images/form_215_sentence_1.png,Paukštis bando galvoti.
Datasets/Synthetic_Sentences/images/sentence_25648.png,Garsiai Marija perka kavą.
Datasets/Synthetic_Sentences/images/sentence_15936.png,Greitai Mantas skaito laišką.
Datasets/Synthetic_Sentences/images/sentence_57465.png,Vaikas mėgsta pirkti knygą.
Datasets/Real_Handwriting/images/form_237_sentence_2.png,Atidžiai Jonas perka kavą.
Datasets/Real_Handwriting/images/form_398_sentence_3.png,Jonas dirba namuose.
Datasets/Real_Handwriting/images/form_240_sentence_2.png,Šiandien Mindaugas perka knygą.
Datasets/Synthetic_Sentences/images/sentence_16967.png,Rūpestingai Laura mokosi kalnuose.
Datasets/Synthetic_Sentences/images/sentence_49115.png,Mantas nedirba sode.
Datasets/Synthetic_Sentences/images/sentence_51922.png,Studentas ilsisi kalnuose.
Datasets/Real_Handwriting/images/form_285_sentence_5.png,Universiteto studentai žaidžia šachmatais laisvalaikiu.
Datasets/Real_Handwriting/images/form_254_sentence_5.png,Universiteto studentai žaidžia šachmatais laisvalaikiu.
Datasets/Synthetic_Sentences/images/sentence_03854.png,Marija nori pirkti kavą.
Datasets/Synthetic_Sentences/images/sentence_53466.png,Mokytojas nori pirkti arbatą.
Datasets/Synthetic_Sentences/images/sentence_42222.png,"Neringa mokosi pievoje, bet nori šokti."
Datasets/Synthetic_Sentences/images/sentence_50021.png,Šiandien Žilvinas dirba sode.
Datasets/Real_Handwriting/images/form_323_sentence_4.png,Rytoj vaikas eis stotyje.
Datasets/Synthetic_Sentences/images/sentence_41793.png,Kristina valgo sriubą.
Datasets/Real_Handwriting/images/form_060_sentence_5.png,Kartu studentas tvarkosi laišką.
Datasets/Real_Handwriting/images/form_489_sentence_3.png,Vakar Mantas nešė dovaną.
Datasets/Synthetic_Sentences/images/sentence_08477.png,Ką vaikas skaito?
Datasets/Synthetic_Sentences/images/sentence_45949.png,Marija renka daržoves.
Datasets/Synthetic_Sentences/images/sentence_18474.png,Danielius neskaito receptą.
Datasets/Synthetic_Sentences/images/sentence_60204.png,Danielius valgo obuolį.
