0,1
Datasets/Synthetic_Sentences/images/sentence_04068.png,Šiandien studentė skaito receptą.
Datasets/Synthetic_Sentences/images/sentence_18993.png,Katė sportuoja upės pakrantėje.
Datasets/Synthetic_Sentences/images/sentence_20900.png,Ar Neringa mėgsta piešti?
Datasets/Synthetic_Sentences/images/sentence_35877.png,Katė dirba upės pakrantėje.
Datasets/Synthetic_Sentences/images/sentence_67280.png,Ar gydytojas mėgsta žaisti?
Datasets/Synthetic_Sentences/images/sentence_63793.png,Jonas rašo žemėlapį.
Datasets/Synthetic_Sentences/images/sentence_02440.png,Kristina mėgsta valgyti vaisius.
Datasets/Synthetic_Sentences/images/sentence_27806.png,Laura gyvena ežero pakrantėje.
Datasets/Synthetic_Sentences/images/sentence_36545.png,Mindaugas bando sportuoti.
Datasets/Real_Handwriting/images/form_148_sentence_2.png,Jūs nemėgsta valgyti egzaminą.
Datasets/Real_Handwriting/images/form_208_sentence_1.png,Rūpestingai Kristina skaito istoriją.
Datasets/Synthetic_Sentences/images/sentence_68104.png,Kodėl Neringa dirba ligoninėje?
Datasets/Synthetic_Sentences/images/sentence_54573.png,Lėtai mokytoja perka knygą.
Datasets/Synthetic_Sentences/images/sentence_32896.png,Kodėl berniukas dirba kaime?
Datasets/Real_Handwriting/images/form_020_sentence_5.png,Vyrai bėga ir bėga.
Datasets/Synthetic_Sentences/images/sentence_62427.png,Mokytojas pradeda kalbėti.
Datasets/Real_Handwriting/images/form_033_sentence_5.png,Šiandien šuo miega gerai.
Datasets/Synthetic_Sentences/images/sentence_40715.png,Rasa mėgsta gerti kavą.
Datasets/Real_Handwriting/images/form_111_sentence_4.png,Vaikas žiūri ir žiūri.
Datasets/Synthetic_Sentences/images/sentence_63520.png,Rytoj Gintaras eis mieste.
Datasets/Real_Handwriting/images/form_391_sentence_4.png,Neringa pradeda šokti.
Datasets/Synthetic_Sentences/images/sentence_60401.png,Žilvinas mokosi kavinėje ryte.
Datasets/Synthetic_Sentences/images/sentence_23867.png,Šiandien Kristina ilsisi stadione.
Datasets/Synthetic_Sentences/images/sentence_57653.png,Džiaugsmingai Neringa neša gėlę.
Datasets/Synthetic_Sentences/images/sentence_03059.png,Tomas mėgsta pirkti arbatą.
Datasets/Synthetic_Sentences/images/sentence_07588.png,Garsiai Marija valgo duoną.
Datasets/Synthetic_Sentences/images/sentence_40460.png,Eglė neša knygą.
Datasets/Synthetic_Sentences/images/sentence_03818.png,Šiandien Tomas dirba upės pakrantėje.
Datasets/Synthetic_Sentences/images/sentence_23943.png,Jurgita renka grybus.
Datasets/Real_Handwriting/images/form_026_sentence_5.png,Gydytojas stengiasi skaityti.
Datasets/Synthetic_Sentences/images/sentence_60332.png,Kruopščiai Renata ilsisi ežero pakrantėje.
Datasets/Synthetic_Sentences/images/sentence_47406.png,Ingrida nori pirkti arbatą.
Datasets/Real_Handwriting/images/form_508_sentence_5.png,Tėtis treniruoja vaikus kiekvieną savaitę.
Datasets/Synthetic_Sentences/images/sentence_27190.png,Studentas skaito seną žemėlapį.
Datasets/Synthetic_Sentences/images/sentence_63627.png,Šiandien Mindaugas skaito istoriją.
Datasets/Synthetic_Sentences/images/sentence_42351.png,Studentas nenori mokytis.
Datasets/Synthetic_Sentences/images/sentence_65590.png,Ramiai Saulius dirba mieste.
Datasets/Synthetic_Sentences/images/sentence_03328.png,Mokytoja dirba namuose ir skaito laišką.
Datasets/Synthetic_Sentences/images/sentence_55505.png,Ramiai vaikas rašo laišką.
Datasets/Real_Handwriting/images/form_353_sentence_5.png,Kartu keliaujame per kalnų taką.
Datasets/Synthetic_Sentences/images/sentence_68832.png,Šiandien Gintaras perka gėlę.
Datasets/Synthetic_Sentences/images/sentence_05422.png,Džiaugsmingai Petras mokosi pievoje naktį.
