0,1
Datasets/Real_Handwriting/images/form_176_sentence_2.png,Jis sportuoja ir sportuoja.
Datasets/Synthetic_Sentences/images/sentence_01135.png,Vakar Eglė skaitė žemėlapį.
Datasets/Real_Handwriting/images/form_447_sentence_4.png,Vaikas skaito žurnalą.
Datasets/Real_Handwriting/images/form_122_sentence_3.png,Mergaitės piešia stotyje ir paplūdimyje.
Datasets/Real_Handwriting/images/form_188_sentence_4.png,Ji tvarkosi ir tvarkosi.
Datasets/Real_Handwriting/images/form_372_sentence_2.png,Ramiai Eglė valgo košę.
Datasets/Synthetic_Sentences/images/sentence_00302.png,Marija mėgsta valgyti sriubą.
Datasets/Real_Handwriting/images/form_414_sentence_5.png,Senoji bibliotekininkė žino visų knygų vietas.
Datasets/Real_Handwriting/images/form_301_sentence_5.png,Universiteto studentai žaidžia šachmatais laisvalaikiu.
Datasets/Real_Handwriting/images/form_207_sentence_5.png,Ežeras ežiukui atrodo labai didelis.
Datasets/Real_Handwriting/images/form_431_sentence_5.png,Universiteto studentai žaidžia šachmatais laisvalaikiu.
Datasets/Synthetic_Sentences/images/sentence_00097.png,Mielai studentė rašo laišką.
Datasets/Real_Handwriting/images/form_026_sentence_3.png,Vaikai galvoja mieste.
Datasets/Real_Handwriting/images/form_059_sentence_4.png,Vyrai stengiasi dirbti receptą.
Datasets/Synthetic_Sentences/images/sentence_00131.png,Rytoj Gintaras skaitys žemėlapį.
Datasets/Real_Handwriting/images/form_460_sentence_1.png,Švelniai studentė skaito knygą.
Datasets/Synthetic_Sentences/images/sentence_01078.png,Saulius perka dovaną.
Datasets/Synthetic_Sentences/images/sentence_02306.png,Šiandien Tomas ilsisi parke.
Datasets/Real_Handwriting/images/form_383_sentence_5.png,Daina skamba per visą sodą.
Datasets/Synthetic_Sentences/images/sentence_01303.png,Šuo nori rašyti laišką.
Datasets/Real_Handwriting/images/form_199_sentence_2.png,Mokytojas bijo skaityti vaisius.
Datasets/Real_Handwriting/images/form_251_sentence_5.png,Universiteto studentai žaidžia šachmatais laisvalaikiu.
Datasets/Synthetic_Sentences/images/sentence_00665.png,Laura nori skaityti žemėlapį.
Datasets/Synthetic_Sentences/images/sentence_01918.png,Eglė mokosi miške.
Datasets/Synthetic_Sentences/images/sentence_01193.png,Eglė bando kalbėti.
Datasets/Synthetic_Sentences/images/sentence_01951.png,Ar Ingrida dirba sode?
Datasets/Synthetic_Sentences/images/sentence_01545.png,Kristina stengiasi gerti.
Datasets/Synthetic_Sentences/images/sentence_01928.png,Jurgita žaidžia ežero pakrantėje.
Datasets/Real_Handwriting/images/form_043_sentence_4.png,Paukštis nemėgsta skaityti.
Datasets/Synthetic_Sentences/images/sentence_01377.png,Šiandien Danielius ilsisi ligoninėje.
Datasets/Real_Handwriting/images/form_467_sentence_2.png,Šeima ilsisi namuose.
Datasets/Real_Handwriting/images/form_022_sentence_1.png,Šiandien mergaitės galvoja kartu.
Datasets/Synthetic_Sentences/images/sentence_00703.png,Renata dirba ežero pakrantėje.
Datasets/Synthetic_Sentences/images/sentence_01924.png,Saulius perka gėlę.
Datasets/Real_Handwriting/images/form_237_sentence_4.png,Berniukas groja simfoniją.
Datasets/Real_Handwriting/images/form_044_sentence_5.png,Šiandien tu geria greitai.
Datasets/Synthetic_Sentences/images/sentence_02016.png,Šiandien mokytojas dirba mokykloje.
